Animal,Parmfile,HR,Probe HR,FAR,Number of Probe Targets,Number of Targets,Number of References,Probe DI (%),DI (%),Probe RT (s),Difficulty,zprobeHR,zHR,zFAR,d prime,probe d prime,Criterion
Babybell,bbl071d10_a_PTD.m,0.82,0.83,0.28,12,60,120,0.74,0.71,0.44,Easy,0.954165253,0.915365088,-0.582841507,1.498206595,1.53700676,-0.16626179
Babybell,bbl071e03_a_PTD.m,0.59,0.83,0.29,6,29,55,0.7,0.63,0.87,A Pure Tone,0.954165253,0.227544977,-0.55338472,0.780929696,1.507549973,0.162919871
Babybell,bbl072a05_a_PTD.m,0.95,0.95,0.22,11,55,90,0.86,0.82,0.45,Easy,1.644853627,1.644853627,-0.772193214,2.417046841,2.417046841,-0.436330206
Babybell,bbl072d05_a_PTD.m,0.89,0.92,0.36,12,61,140,0.72,0.75,0.46,Hard,1.40507156,1.22652812,-0.358458793,1.584986913,1.763530354,-0.434034663
Babybell,bbl072d07_a_PTD.m,0.87,0.94,0.27,8,46,84,0.83,0.75,0.55,Easy,1.554773595,1.126391129,-0.612812991,1.73920412,2.167586586,-0.256789069
Babybell,bbl072d09_a_PTD.m,0.92,0.86,0.27,7,39,78,0.77,0.81,0.5,A Pure Tone,1.080319341,1.40507156,-0.612812991,2.017884551,1.693132332,-0.396129285
Babybell,bbl072d11_a_PTD.m,0.6,0.75,0.25,4,20,32,0.79,0.68,0.2,Hard,0.67448975,0.253347103,-0.67448975,0.927836853,1.3489795,0.210571324
Babybell,bbl073d05_a_PTD.m,0.97,0.88,0.34,4,15,32,0.94,0.92,0.25,Easy,1.174986792,1.880793608,-0.412463129,2.293256738,1.587449922,-0.734165239
Babybell,bbl073h05_a_PTD.m,0.93,0.91,0.28,11,56,109,0.78,0.76,0.39,Easy,1.340755034,1.475791028,-0.582841507,2.058632535,1.923596541,-0.44647476
Babybell,bbl073i06_a_PTD.m,0.56,0.57,0.24,7,32,50,0.59,0.59,0.64,A Pure Tone,0.176374165,0.150969215,-0.706302563,0.857271778,0.882676728,0.277666674
Babybell,bbl074e04_a_PTD.m,0.91,0.5,0.48,1,11,23,0.89,0.9,0.45,Easy,0,1.340755034,-0.050153583,1.390908617,0.050153583,-0.645300725
Babybell,bbl074f04_a_PTD.m,0.93,0.92,0.27,12,56,110,0.84,0.8,0.28,Easy,1.40507156,1.475791028,-0.612812991,2.088604019,2.017884551,-0.431489019
Babybell,bbl074f07_a_PTD.m,0.99,0.95,0.36,11,54,108,0.84,0.85,0.3,Hard,1.644853627,2.326347874,-0.358458793,2.684806667,2.00331242,-0.98394454
Babybell,bbl074f08_a_PTD.m,0.95,0.95,0.24,11,55,95,0.91,0.89,0.38,A Pure Tone,1.644853627,1.644853627,-0.706302563,2.35115619,2.35115619,-0.469275532
Babybell,bbl074g05_a_PTD.m,0.74,0.43,0.25,14,70,91,0.48,0.62,0.43,A Pure Tone,-0.176374165,0.643345405,-0.67448975,1.317835156,0.498115585,0.015572172
Babybell,bbl074g07_a_PTD.m,0.64,0.8,0.21,10,47,73,0.75,0.69,0.5,Hard,0.841621234,0.358458793,-0.806421247,1.16488004,1.648042481,0.223981227
Babybell,bbl075a05_a_PTD.m,0.98,0.9,0.29,5,21,41,0.97,0.96,0.25,Easy,1.281551566,2.053748911,-0.55338472,2.60713363,1.834936285,-0.750182096
Babybell,bbl075b04_a_PTD.m,0.99,0.95,0.36,10,55,123,0.85,0.85,0.24,Hard,1.644853627,2.326347874,-0.358458793,2.684806667,2.00331242,-0.98394454
Babybell,bbl075g04_a_PTD.m,0.94,0.88,0.35,4,18,37,0.75,0.75,0.48,Hard,1.174986792,1.554773595,-0.385320466,1.940094061,1.560307258,-0.584726564
Babybell,bbl075h05_a_PTD.m,0.98,0.88,0.36,4,22,44,0.96,0.9,0.19,A Pure Tone,1.174986792,2.053748911,-0.358458793,2.412207704,1.533445585,-0.847645059
Babybell,bbl077f10_a_PTD.m,0.88,0.83,0.27,12,60,97,0.76,0.78,0.4,A Pure Tone,0.954165253,1.174986792,-0.612812991,1.787799783,1.566978244,-0.281086901
Babybell,bbl077f12_a_PTD.m,0.8,0.85,0.22,13,65,99,0.79,0.72,0.46,Easy,1.036433389,0.841621234,-0.772193214,1.613814448,1.808626604,-0.03471401
Babybell,bbl077f13_a_PTD.m,0.56,0.83,0.24,6,36,59,0.8,0.67,0.43,Hard,0.954165253,0.150969215,-0.706302563,0.857271778,1.660467816,0.277666674
Babybell,bbl077f16_a_PTD.m,0.41,0.4,0.26,5,22,43,0.5,0.44,0.33,Hard,-0.253347103,-0.227544977,-0.643345405,0.415800429,0.389998302,0.435445191
Babybell,bbl078d05_a_PTD.m,0.98,0.95,0.24,11,53,83,0.85,0.85,0.59,A Pure Tone,1.644853627,2.053748911,-0.706302563,2.760051473,2.35115619,-0.673723174
Babybell,bbl078d07_a_PTD.m,0.96,0.96,0.3,12,54,96,0.87,0.83,0.35,Hard,1.750686071,1.750686071,-0.524400513,2.275086584,2.275086584,-0.613142779
Babybell,bbl078k04_a_PTD.m,0.99,0.95,0.29,10,53,103,0.9,0.86,0.32,Easy,1.644853627,2.326347874,-0.55338472,2.879732594,2.198238347,-0.886481577
Babybell,bbl078k05_a_PTD.m,0.76,0.77,0.28,13,68,149,0.75,0.74,0.41,Hard,0.738846849,0.706302563,-0.582841507,1.28914407,1.321688356,-0.061730528
Babybell,bbl078k07_a_PTD.m,0.77,0.93,0.19,7,35,54,0.88,0.81,0.65,A Pure Tone,1.475791028,0.738846849,-0.877896295,1.616743144,2.353687323,0.069524723
Babybell,bbl079a06_a_PTD.m,0.94,0.75,0.43,2,16,44,0.89,0.71,0.15,Easy,0.67448975,1.554773595,-0.176374165,1.731147759,0.850863915,-0.689199715
Babybell,bbl079b04_a_PTD.m,0.94,0.5,0.37,1,9,30,0.87,0.86,0.39,Easy,0,1.554773595,-0.331853346,1.886626941,0.331853346,-0.611460124
Babybell,bbl079b08_a_PTD.m,0.99,0.95,0.33,11,55,107,0.91,0.9,0.17,A Pure Tone,1.644853627,2.326347874,-0.439913166,2.76626104,2.084766793,-0.943217354
Babybell,bbl079h05_a_PTD.m,0.94,0.95,0.4,10,54,134,0.87,0.81,0.2,Hard,1.644853627,1.554773595,-0.253347103,1.808120698,1.89820073,-0.650713246
Babybell,bbl079h07_a_PTD.m,0.78,0.71,0.24,14,68,116,0.69,0.72,0.38,A Pure Tone,0.55338472,0.772193214,-0.706302563,1.478495777,1.259687282,-0.032945326
Babybell,bbl079h08_a_PTD.m,0.61,0.82,0.24,11,56,111,0.75,0.64,0.6,Easy,0.915365088,0.279319034,-0.706302563,0.985621597,1.621667651,0.213491764
Babybell,bbl080a06_a_PTD.m,0.99,0.96,0.36,12,54,126,0.86,0.83,0.24,Easy,1.750686071,2.326347874,-0.358458793,2.684806667,2.109144865,-0.98394454
Babybell,bbl080a08_a_PTD.m,0.99,0.94,0.26,9,43,72,0.92,0.92,0.23,A Pure Tone,1.554773595,2.326347874,-0.643345405,2.969693279,2.198119,-0.841501234
Babybell,bbl081b04_a_PTD.m,0.96,0.83,0.44,3,13,39,0.88,0.89,0.34,Easy,0.954165253,1.750686071,-0.150969215,1.901655287,1.105134469,-0.799858428
Babybell,bbl081b05_a_PTD.m,0.92,0.75,0.48,2,13,27,0.82,0.68,0.28,Easy,0.67448975,1.40507156,-0.050153583,1.455225144,0.724643334,-0.677458988
Babybell,bbl081d04_a_PTD.m,0.98,0.91,0.37,11,57,119,0.77,0.81,0.46,A Pure Tone,1.340755034,2.053748911,-0.331853346,2.385602257,1.67260838,-0.860947782
Babybell,bbl081d06_a_PTD.m,0.73,0.71,0.35,14,71,155,0.66,0.68,0.64,Hard,0.55338472,0.612812991,-0.385320466,0.998133457,0.938705186,-0.113746262
Babybell,bbl081d08_a_PTD.m,0.74,0.71,0.27,7,31,49,0.71,0.7,0.91,Easy,0.55338472,0.643345405,-0.612812991,1.256158396,1.166197711,-0.015266207
Babybell,bbl082e04_a_PTD.m,0.96,0.83,0.3,3,13,23,0.94,0.8,0.23,Easy,0.954165253,1.750686071,-0.524400513,2.275086584,1.478565766,-0.613142779
Babybell,bbl082g04_a_PTD.m,0.97,0.92,0.34,6,31,70,0.86,0.86,0.37,Easy,1.40507156,1.880793608,-0.412463129,2.293256738,1.81753469,-0.734165239
Babybell,bbl082h07_a_PTD.m,0.99,0.95,0.25,11,54,88,0.9,0.88,0.38,A Pure Tone,1.644853627,2.326347874,-0.67448975,3.000837624,2.319343377,-0.825929062
Babybell,bbl082h09_a_PTD.m,0.83,0.85,0.29,13,65,101,0.71,0.73,0.56,Hard,1.036433389,0.954165253,-0.55338472,1.507549973,1.589818109,-0.200390267
Babybell,bbl082h10_a_PTD.m,0.6,0.6,0.2,5,25,49,0.76,0.72,0.47,Easy,0.253347103,0.253347103,-0.841621234,1.094968337,1.094968337,0.294137065
Babybell,bbl083b05_a_PTD.m,0.99,0.95,0.17,10,52,75,0.95,0.95,0.44,A Pure Tone,1.644853627,2.326347874,-0.954165253,3.280513127,2.59901888,-0.68609131
Babybell,bbl083b07_a_PTD.m,0.95,0.91,0.17,11,58,81,0.9,0.89,0.32,Easy,1.340755034,1.644853627,-0.954165253,2.59901888,2.294920287,-0.345344187
Babybell,bbl083b08_p_PTD.m,0.86,0.92,0.17,13,63,87,0.86,0.83,0.48,Hard,1.40507156,1.080319341,-0.954165253,2.034484594,2.359236813,-0.063077044
Babybell,bbl083b10_a_PTD.m,0.77,0.8,0.17,10,48,60,0.75,0.76,0.7,A Pure Tone,0.841621234,0.738846849,-0.954165253,1.693012102,1.795786487,0.107659202
Babybell,bbl086b06_a_PTD.m,0.51,0.62,0.28,8,43,74,0.6,0.56,0.41,Easy,0.305480788,0.025068908,-0.582841507,0.607910416,0.888322295,0.2788863
Babybell,bbl086b07_a_PTD.m,0.69,0.7,0.29,10,51,83,0.68,0.73,0.65,Easy,0.524400513,0.495850347,-0.55338472,1.049235067,1.077785232,0.028767186
Babybell,bbl086b11_a_PTD.m,0.89,0.92,0.26,12,62,117,0.81,0.81,0.56,A Pure Tone,1.40507156,1.22652812,-0.643345405,1.869873525,2.048416966,-0.291591357
Babybell,bbl086b12_a_PTD.m,0.78,0.69,0.23,13,68,95,0.69,0.76,0.77,Hard,0.495850347,0.772193214,-0.738846849,1.511040063,1.234697197,-0.016673183
Babybell,bbl086b14_a_PTD.m,0.65,0.71,0.26,7,31,43,0.73,0.63,0.33,Easy,0.55338472,0.385320466,-0.643345405,1.028665872,1.196730125,0.129012469
Babybell,bbl087c03_a_PTD.m,0.94,0.5,0.5,1,8,22,0.86,0.85,0.28,Hard,0,1.554773595,0,1.554773595,0,-0.777386797
Babybell,bbl087c04_a_PTD.m,0.9,0.5,0.4,1,5,20,0.65,0.76,0.99,Hard,0,1.281551566,-0.253347103,1.534898669,0.253347103,-0.514102231
Babybell,bbl099g02_a_PTD.m,0.61,0.88,0.31,8,38,64,0.7,0.58,0.77,Easy,1.174986792,0.279319034,-0.495850347,0.775169382,1.670837139,0.108265656
Babybell,bbl102d08_a_PTD.m,0.88,0,0.6,1,8,43,0.38,0.73,1.5,Hard,#NUM!,1.174986792,0.253347103,0.921639689,#NUM!,-0.714166948
Babybell,bbl102d10_a_PTD.m,0.74,0.89,0.42,9,47,143,0.78,0.7,0.28,Hard,1.22652812,0.643345405,-0.201893479,0.845238885,1.428421599,-0.220725963
Babybell,bbl102d13_a_PTD.m,0.68,0.8,0.25,10,50,56,0.75,0.74,0.45,A Pure Tone,0.841621234,0.467698799,-0.67448975,1.142188549,1.516110984,0.103395476
Babybell,bbl104h06_a_PTD.m,0.97,0.88,0.48,4,20,89,0.67,0.82,0.6,Easy,1.174986792,1.880793608,-0.050153583,1.930947192,1.225140376,-0.915320012
Babybell,bbl104h08_a_PTD.m,0.84,0.6,0.4,10,45,113,0.57,0.66,0.29,A Pure Tone,0.253347103,0.994457883,-0.253347103,1.247804986,0.506694206,-0.37055539
Babybell,bbl105e03_a_PTD.m,0.97,0.88,0.58,4,15,76,0.75,0.75,0.26,Easy,1.174986792,1.880793608,0.201893479,1.678900129,0.973093313,-1.041343544
Babybell,bbl105e05_a_PTD.m,0.99,0.94,0.48,8,35,113,0.88,0.9,0.24,A Pure Tone,1.554773595,2.326347874,-0.050153583,2.376501458,1.604927178,-1.138097145
Babybell,bbl106d04_a_PTD.m,0.84,0.71,0.35,7,37,72,0.59,0.68,0.45,A Pure Tone,0.55338472,0.994457883,-0.385320466,1.37977835,0.938705186,-0.304568708
Beartooth,BRT003f06_a_PTD.m,0.74,0.71,0.16,7,35,49,0.75,0.77,0.42,A Pure Tone,0.55338472,0.643345405,-0.994457883,1.637803289,1.547842603,0.175556239
Beartooth,BRT005c06_a_PTD.m,0.76,0.79,0.28,14,70,125,0.74,0.73,0.75,Easy,0.806421247,0.706302563,-0.582841507,1.28914407,1.389262754,-0.061730528
Beartooth,BRT005c08_a_PTD.m,0.8,0.79,0.25,14,66,93,0.71,0.77,0.67,Hard,0.806421247,0.841621234,-0.67448975,1.516110984,1.480910997,-0.083565742
Beartooth,BRT005c09_a_PTD.m,0.88,0.83,0.22,12,57,82,0.74,0.77,0.66,A Pure Tone,0.954165253,1.174986792,-0.772193214,1.947180006,1.726358467,-0.201396789
Beartooth,BRT005e04_a_PTD.m,0.38,0.33,0.29,3,13,28,0.52,0.53,0.04,A Pure Tone,-0.439913166,-0.305480788,-0.55338472,0.247903931,0.113471554,0.429432754
Beartooth,BRT006b05_a_PTD.m,0.91,0.75,0.31,12,58,94,0.73,0.79,0.58,A Pure Tone,0.67448975,1.340755034,-0.495850347,1.836605381,1.170340098,-0.422452343
Beartooth,BRT006b07_a_PTD.m,0.75,0.93,0.25,14,69,117,0.82,0.77,0.33,Hard,1.475791028,0.67448975,-0.67448975,1.3489795,2.150280778,0
Beartooth,BRT006d05_a_PTD.m,0.93,0.96,0.28,12,60,93,0.83,0.76,0.37,Easy,1.750686071,1.475791028,-0.582841507,2.058632535,2.333527579,-0.44647476
Beartooth,BRT006d07_a_PTD.m,0.77,0.8,0.29,5,26,42,0.84,0.8,0.34,A Pure Tone,0.841621234,0.738846849,-0.55338472,1.292231569,1.395005953,-0.092731065
Beartooth,BRT007c05_a_PTD.m,0.55,0.42,0.25,12,58,77,0.56,0.63,0.52,Easy,-0.201893479,0.125661347,-0.67448975,0.800151097,0.472596271,0.274414202
Beartooth,BRT007c07_a_PTD.m,0.96,0.91,0.32,11,55,110,0.78,0.8,0.33,A Pure Tone,1.340755034,1.750686071,-0.467698799,2.21838487,1.808453833,-0.641493636
Beartooth,BRT007c10_a_PTD.m,0.87,0.96,0.29,12,62,114,0.84,0.78,0.42,Hard,1.750686071,1.126391129,-0.55338472,1.679775849,2.304070791,-0.286503205
Beartooth,BRT007c12_a_PTD.m,0.8,0.79,0.2,14,69,84,0.78,0.71,0.64,Easy,0.806421247,0.841621234,-0.841621234,1.683242467,1.648042481,-1.11E-16
Beartooth,BRT008d04_a_PTD.m,0.86,0.95,0.15,11,64,74,0.91,0.79,0.58,Easy,1.644853627,1.080319341,-1.036433389,2.11675273,2.681287016,-0.021942976
Beartooth,BRT008d06_a_PTD.m,0.93,0.91,0.29,11,59,118,0.79,0.82,0.42,Hard,1.340755034,1.475791028,-0.55338472,2.029175748,1.894139753,-0.461203154
Beartooth,BRT008d08_a_PTD.m,0.93,0.96,0.19,12,57,83,0.91,0.87,0.48,A Pure Tone,1.750686071,1.475791028,-0.877896295,2.353687323,2.628582366,-0.298947367
Beartooth,BRT008e05_a_PTD.m,0.95,0.91,0.33,11,56,114,0.7,0.74,0.52,A Pure Tone,1.340755034,1.644853627,-0.439913166,2.084766793,1.780668199,-0.602470231
Beartooth,BRT009a04_a_PTD.m,0.62,0.93,0.29,7,34,51,0.9,0.75,0.48,Hard,1.475791028,0.305480788,-0.55338472,0.858865508,2.029175748,0.123951966
Beartooth,BRT009c04_a_PTD.m,0.98,0.95,0.4,11,55,139,0.83,0.81,0.44,A Pure Tone,1.644853627,2.053748911,-0.253347103,2.307096014,1.89820073,-0.900200904
Beartooth,BRT009c06_a_PTD.m,0.89,0.94,0.35,8,37,80,0.86,0.75,0.32,Easy,1.554773595,1.22652812,-0.385320466,1.611848586,1.940094061,-0.420603827
Beartooth,BRT009d06_a_PTD.m,0.89,0.96,0.13,13,61,86,0.94,0.82,0.43,Easy,1.750686071,1.22652812,-1.126391129,2.352919249,2.8770772,-0.050068495
Beartooth,BRT011g04_a_PTD.m,0.61,0.5,0.11,6,33,45,0.65,0.75,0.38,Easy,0,0.279319034,-1.22652812,1.505847154,1.22652812,0.473604543
Beartooth,BRT011h05_a_PTD.m,0.98,0.91,0.34,11,54,122,0.77,0.81,0.23,A Pure Tone,1.340755034,2.053748911,-0.412463129,2.46621204,1.753218163,-0.820642891
Beartooth,BRT011h06_a_PTD.m,0.93,0.94,0.33,9,45,94,0.83,0.81,0.5,Hard,1.554773595,1.475791028,-0.439913166,1.915704194,1.99468676,-0.517938931
Beartooth,BRT012f03_a_PTD.m,0.98,0.92,0.45,6,33,89,0.83,0.84,0.24,A Pure Tone,1.40507156,2.053748911,-0.125661347,2.179410257,1.530732907,-0.964043782
Beartooth,BRT013e02_a_PTD.m,0.95,0.95,0.35,11,56,110,0.85,0.83,0.42,A Pure Tone,1.644853627,1.644853627,-0.385320466,2.030174093,2.030174093,-0.62976658
Beartooth,BRT013e03_a_PTD.m,0.91,0.92,0.42,12,58,136,0.82,0.82,0.23,Hard,1.40507156,1.340755034,-0.201893479,1.542648513,1.606965039,-0.569430777
Beartooth,BRT015a05_a_PTD.m,0.89,0.9,0.38,10,53,112,0.73,0.73,0.44,Easy,1.281551566,1.22652812,-0.305480788,1.532008908,1.587032354,-0.460523666
Beartooth,BRT015b05_a_PTD.m,0.99,0.95,0.37,10,53,110,0.82,0.84,0.26,A Pure Tone,1.644853627,2.326347874,-0.331853346,2.65820122,1.976706973,-0.997247264
Beartooth,BRT015b07_a_PTD.m,0.72,0.73,0.27,15,74,109,0.67,0.67,0.34,Hard,0.612812991,0.582841507,-0.612812991,1.195654498,1.225625982,0.014985742
Beartooth,BRT015c04_a_PTD.m,0.87,0.83,0.28,12,61,105,0.76,0.77,0.31,Easy,0.954165253,1.126391129,-0.582841507,1.709232636,1.53700676,-0.271774811
Beartooth,BRT015c06_a_PTD.m,0.73,0.73,0.2,15,74,100,0.75,0.77,0.49,Hard,0.612812991,0.612812991,-0.841621234,1.454434225,1.454434225,0.114404121
Beartooth,BRT015c08_a_PTD.m,0.81,0.83,0.14,6,32,43,0.8,0.8,0.35,A Pure Tone,0.954165253,0.877896295,-1.080319341,1.958215636,2.034484594,0.101211523
Beartooth,BRT016f04_a_PTD.m,0.99,0.95,0.34,11,54,110,0.8,0.83,0.4,Easy,1.644853627,2.326347874,-0.412463129,2.738811003,2.057316756,-0.956942372
Beartooth,BRT016f06_a_PTD.m,0.98,0.95,0.34,10,56,110,0.87,0.84,0.22,Hard,1.644853627,2.053748911,-0.412463129,2.46621204,2.057316756,-0.820642891
Beartooth,BRT016f07_a_PTD.m,0.96,0.91,0.2,11,55,91,0.89,0.89,0.36,A Pure Tone,1.340755034,1.750686071,-0.841621234,2.592307305,2.182376267,-0.454532419
Beartooth,BRT016f12_a_PTD.m,0.87,0.92,0.19,13,62,98,0.84,0.82,0.48,Hard,1.40507156,1.126391129,-0.877896295,2.004287424,2.282967855,-0.124247417
Beartooth,BRT017f04_a_PTD.m,0.85,0.62,0.11,8,41,47,0.65,0.76,0.55,A Pure Tone,0.305480788,1.036433389,-1.22652812,2.26296151,1.532008908,0.095047365
Beartooth,BRT017g04_a_PTD.m,0.98,0.95,0.35,11,56,123,0.83,0.83,0.26,Easy,1.644853627,2.053748911,-0.385320466,2.439069377,2.030174093,-0.834214222
Beartooth,BRT017g06_a_PTD.m,0.93,0.96,0.29,12,58,102,0.82,0.82,0.41,Hard,1.750686071,1.475791028,-0.55338472,2.029175748,2.304070791,-0.461203154
Beartooth,BRT017g07_a_PTD.m,0.93,0.95,0.24,11,57,84,0.91,0.88,0.38,A Pure Tone,1.644853627,1.475791028,-0.706302563,2.182093591,2.35115619,-0.384744233
